100,0,28,,,kp,ki,kd
100,100.43,4914460,,,,,
100,100.42,4938380,,,,,
100,99.92,4962300,,,,,
100,99.31,4985180,,,,,
100,99.61,5008060,,,,,
100,100.38,5030940,,,,,
100,100.71,5054860,,,,,
100,100.16,5078780,,,,,
100,99.7,5102700,,,,,
100,99.61,5125580,,,,,
100,99.36,5148460,,,,,
100,99.66,5171340,,,,,
100,100.42,5194220,,,,,
100,100.74,5218140,,,,,
100,100.19,5242060,,,,,
100,99.72,5265980,,,,,
100,99.63,5288860,,,,,
100,99.89,5311740,,,,,
100,100.62,5334620,,,,,
100,100.42,5358540,,,,,
100,99.43,5382460,,,,,
100,99.41,5405340,,,,,
100,99.7,5428220,,,,,
100,99.94,5451100,,,,,
100,100.67,5473980,,,,,
100,100.95,5497900,,,,,
100,100.37,5521820,,,,,
100,99.39,5545740,,,,,
100,98.86,5568620,,,,,
100,99.74,5591500,,,,,
100,101,5614380,,,,,
100,100.75,5638300,,,,,
100,99.71,5662220,,,,,
100,99.13,5685100,,,,,
100,99.46,5707980,,,,,
100,100.26,5730860,,,,,
100,100.6,5754780,,,,,
100,100.56,5778700,,,,,
100,100.04,5802620,,,,,
100,99.59,5826540,,,,,
100,100.03,5849424,,,,,
100,100.41,5873340,,,,,
100,99.91,5897260,,,,,
100,99.3,5920140,,,,,
100,99.61,5943020,,,,,
100,100.38,5965900,,,,,
100,100.7,5989820,,,,,
100,100.16,6013740,,,,,
100,99.7,6037660,,,,,
100,99.61,6060540,,,,,
100,99.87,6083420,,,,,
100,100.09,6106300,,,,,
100,99.95,6130220,,,,,
100,100.34,6153100,,,,,
100,100.67,6177020,,,,,
100,100.13,6200940,,,,,
100,99.18,6224860,,,,,
100,99.19,6247740,,,,,
100,100.03,6270620,,,,,
100,100.4,6294548,,,,,
100,100.39,6318460,,,,,
100,99.89,6342380,,,,,
100,99.8,6365260,,,,,
100,100.03,6388140,,,,,
100,99.9,6412060,,,,,
100,100.29,6434940,,,,,
100,100.63,6458860,,,,,
100,100.1,6482780,,,,,
100,99.64,6506700,,,,,
100,99.57,6529580,,,,,
100,99.83,6552460,,,,,
100,100.06,6575340,,,,,
100,99.92,6599260,,,,,
100,100.31,6622140,,,,,
100,100.65,6646060,,,,,
100,100.11,6669980,,,,,
100,99.65,6693908,,,,,
100,99.57,6716780,,,,,
100,99.84,6739660,,,,,
100,100.58,6762544,,,,,
100,100.39,6786460,,,,,
100,99.89,6810380,,,,,
100,99.78,6833260,,,,,
100,99.5,6856140,,,,,
100,99.78,6879020,,,,,
100,100.52,6901900,,,,,
100,100.34,6925820,,,,,
100,99.85,6949740,,,,,
100,99.74,6972620,,,,,
100,99.47,6995500,,,,,
100,99.75,7018380,,,,,
100,100.5,7041260,,,,,
100,100.32,7065180,,,,,
100,99.83,7089100,,,,,
100,99.73,7111980,,,,,
100,99.97,7134860,,,,,
100,100.18,7157740,,,,,
100,100.02,7181660,,,,,
100,100.07,7205580,,,,,
100,100.1,7229500,,,,,
100,100.14,7253420,,,,,
100,100.17,7277340,,,,,
100,99.7,7301260,,,,,
100,99.64,7324140,,,,,
100,99.89,7347020,,,,,
100,100.11,7369900,,,,,
100,100.48,7393820,,,,,
100,99.97,7417740,,,,,
100,99.35,7440620,,,,,
100,99.65,7463500,,,,,
100,100.42,7486380,,,,,
100,100.74,7510300,,,,,
100,100.19,7534220,,,,,
100,99.23,7558140,,,,,
