88.00,94.44,3.74,
88.00,98.12,3.76,
88.00,89.41,3.78,
88.00,74.48,3.80,
88.00,62.36,3.82,
88.00,59.50,3.83,
88.00,66.41,3.85,
88.00,79.17,3.87,
88.00,92.57,3.89,
88.00,99.02,3.91,
88.00,93.30,3.93,
88.00,78.43,3.95,
88.00,63.86,3.96,
88.00,59.53,3.98,
88.00,65.81,4.00,
88.00,78.04,4.02,
88.00,92.22,4.04,
88.00,99.35,4.06,
88.00,94.20,4.08,
88.00,79.82,4.10,
88.00,64.43,4.11,
88.00,58.14,4.13,
88.00,62.75,4.15,
88.00,74.80,4.17,
88.00,88.84,4.19,
88.00,98.33,4.21,
88.00,96.45,4.23,
88.00,82.37,4.25,
88.00,66.60,4.26,
88.00,59.37,4.28,
88.00,63.18,4.30,
88.00,74.54,4.32,
88.00,87.99,4.34,
88.00,96.98,4.36,
88.00,95.30,4.38,
88.00,83.26,4.40,
88.00,68.61,4.41,
88.00,60.46,4.43,
88.00,63.49,4.45,
88.00,74.18,4.47,
88.00,87.06,4.49,
88.00,96.81,4.51,
88.00,96.40,4.53,
88.00,84.82,4.55,
88.00,69.94,4.56,
88.00,61.60,4.58,
88.00,63.22,4.60,
88.00,72.70,4.62,
88.00,85.80,4.64,
88.00,96.35,4.66,
88.00,96.64,4.68,
88.00,85.65,4.70,
88.00,71.27,4.71,
88.00,62.11,4.73,
88.00,63.03,4.75,
88.00,72.54,4.77,
88.00,85.03,4.79,
88.00,94.45,4.81,
88.00,95.64,4.83,
88.00,86.04,4.84,
88.00,71.61,4.86,
88.00,63.02,4.88,
88.00,63.81,4.90,
88.00,72.58,4.92,
88.00,85.69,4.94,
88.00,95.64,4.96,
88.00,96.03,4.98,
88.00,85.13,4.99,
88.00,70.83,5.01,
88.00,62.36,5.03,
88.00,63.24,5.05,
88.00,72.72,5.07,
88.00,85.81,5.09,
88.00,95.74,5.11,
88.00,96.11,5.13,
88.00,85.20,5.14,
88.00,70.27,5.16,
88.00,61.26,5.18,
88.00,61.67,5.20,
88.00,70.76,5.22,
88.00,84.14,5.24,
88.00,95.56,5.26,
88.00,97.83,5.28,
88.00,88.54,5.29,
88.00,73.12,5.31,
88.00,61.19,5.33,
88.00,59.75,5.35,
88.00,67.87,5.37,
88.00,81.04,5.39,
88.00,93.54,5.41,
88.00,97.98,5.43,
88.00,90.54,5.44,
88.00,76.07,5.46,
88.00,64.34,5.48,
88.00,61.18,5.50,
88.00,67.23,5.52,
88.00,79.87,5.54,
88.00,92.54,5.56,
88.00,98.37,5.57,
